Group,Country,Elo,Seed,PenaltySkill,Elo_lag,Dist_to_Moscow
A,Russia,1685,1,0.725,1680,1
A,Uruguay,1890,2,0.744,1880,13370
A,Egypt,1646,3,0.725,1666,2901
A,Saudi Arabia,1568,4,0.725,1596,3538
B,Portugal,1975,1,0.694,1949,3906
B,Spain,2048,2,0.72,2026,3440
B,Iran,1793,3,0.725,1784,2462
B,Morocco,1711,4,0.725,1666,4147
C,France,1984,1,0.739,1988,2486
C,Peru,1906,2,0.725,1877,12645
C,Denmark,1843,3,0.725,1782,1560
C,Australia,1714,4,0.725,1713,14480
D,Argentina,1985,1,0.753,1995,13479
D,Croatia,1853,2,0.725,1856,1867
D,Iceland,1787,3,0.725,1785,3308
D,Nigeria,1699,4,0.725,1684,5820
E,Brazil,2131,1,0.723,2127,11805
E,Switzerland,1879,2,0.604,1869,2288
E,Costa Rica,1745,3,0.755,1757,10958
E,Serbia,1770,4,0.725,1758,1712
F,Germany,2092,1,0.845,2070,1609
F,Mexico,1859,2,0.585,1897,10719
F,Sweden,1796,3,0.756,1792,1227
F,South Korea,1746,4,0.725,1757,6604
G,Belgium,1931,1,0.794,1910,2253
G,England,1941,2,0.616,1934,2500
G,Tunisia,1649,3,0.725,1603,3255
G,Panama,1663,4,0.725,1654,10804
H,Poland,1831,1,0.725,1847,1150
H,Colombia,1935,2,0.725,1948,10507
H,Senegal,1747,3,0.725,1730,6513
H,Japan,1693,4,0.73,1738,7551